"plate"	"row"	"column"	"sample_type"	"sample"	"sample_name"	"concentration"	"dilution"	"time"	"replicate"	"treatment"	"cell_line"	"HGF"	"dilSeriesID"
1	C	3	measurement	A549_0ng_ml	A549_0ng_ml_rep1_0	1.3	1	0	1	0ng_ml	A549	0	A549
1	C	4	measurement	A549_0ng_ml	A549_0ng_ml_rep2_0	1	1	0	2	0ng_ml	A549	0	A549
1	C	5	measurement	A549_0ng_ml	A549_0ng_ml_rep3_0	1.3	1	0	3	0ng_ml	A549	0	A549
1	C	6	measurement	A549_10ng_ml	A549_10ng_ml_rep1_0	1.3	1	0	1	10ng_ml	A549	10	A549
1	C	7	measurement	A549_10ng_ml	A549_10ng_ml_rep2_0	1	1	0	2	10ng_ml	A549	10	A549
1	C	8	measurement	A549_10ng_ml	A549_10ng_ml_rep3_0	1.3	1	0	3	10ng_ml	A549	10	A549
1	C	9	measurement	A549_25ng_ml	A549_25ng_ml_rep1_0	1.3	1	0	1	25ng_ml	A549	25	A549
1	C	10	measurement	A549_25ng_ml	A549_25ng_ml_rep2_0	1	1	0	2	25ng_ml	A549	25	A549
1	C	11	measurement	A549_25ng_ml	A549_25ng_ml_rep3_0	1.3	1	0	3	25ng_ml	A549	25	A549
1	C	12	measurement	A549_50ng_ml	A549_50ng_ml_rep1_0	1.3	1	0	1	50ng_ml	A549	50	A549
1	C	13	measurement	A549_50ng_ml	A549_50ng_ml_rep2_0	1	1	0	2	50ng_ml	A549	50	A549
1	C	14	measurement	A549_50ng_ml	A549_50ng_ml_rep3_0	1.3	1	0	3	50ng_ml	A549	50	A549
1	C	15	measurement	A549_75ng_ml	A549_75ng_ml_rep1_0	1.3	1	0	1	75ng_ml	A549	75	A549
1	C	16	measurement	A549_75ng_ml	A549_75ng_ml_rep2_0	1	1	0	2	75ng_ml	A549	75	A549
1	C	17	measurement	A549_75ng_ml	A549_75ng_ml_rep3_0	1.3	1	0	3	75ng_ml	A549	75	A549
1	C	18	measurement	A549_100ng_ml	A549_100ng_ml_rep1_0	1.3	1	0	1	100ng_ml	A549	100	A549
1	C	19	measurement	A549_100ng_ml	A549_100ng_ml_rep2_0	1	1	0	2	100ng_ml	A549	100	A549
1	C	20	measurement	A549_100ng_ml	A549_100ng_ml_rep3_0	1.3	1	0	3	100ng_ml	A549	100	A549
1	D	3	measurement	A549_0ng_ml	A549_0ng_ml_rep1_5	1.3	1	5	1	0ng_ml	A549	0	A549
1	D	4	measurement	A549_0ng_ml	A549_0ng_ml_rep2_5	1	1	5	2	0ng_ml	A549	0	A549
1	D	5	measurement	A549_0ng_ml	A549_0ng_ml_rep3_5	1.3	1	5	3	0ng_ml	A549	0	A549
1	D	6	measurement	A549_10ng_ml	A549_10ng_ml_rep1_5	1.3	1	5	1	10ng_ml	A549	10	A549
1	D	7	measurement	A549_10ng_ml	A549_10ng_ml_rep2_5	1	1	5	2	10ng_ml	A549	10	A549
1	D	8	measurement	A549_10ng_ml	A549_10ng_ml_rep3_5	1.3	1	5	3	10ng_ml	A549	10	A549
1	D	9	measurement	A549_25ng_ml	A549_25ng_ml_rep1_5	1.3	1	5	1	25ng_ml	A549	25	A549
1	D	10	measurement	A549_25ng_ml	A549_25ng_ml_rep2_5	1	1	5	2	25ng_ml	A549	25	A549
1	D	11	measurement	A549_25ng_ml	A549_25ng_ml_rep3_5	1.3	1	5	3	25ng_ml	A549	25	A549
1	D	12	measurement	A549_50ng_ml	A549_50ng_ml_rep1_5	1.3	1	5	1	50ng_ml	A549	50	A549
1	D	13	measurement	A549_50ng_ml	A549_50ng_ml_rep2_5	1	1	5	2	50ng_ml	A549	50	A549
1	D	14	measurement	A549_50ng_ml	A549_50ng_ml_rep3_5	1.3	1	5	3	50ng_ml	A549	50	A549
1	D	15	measurement	A549_75ng_ml	A549_75ng_ml_rep1_5	1.3	1	5	1	75ng_ml	A549	75	A549
1	D	16	measurement	A549_75ng_ml	A549_75ng_ml_rep2_5	1	1	5	2	75ng_ml	A549	75	A549
1	D	17	measurement	A549_75ng_ml	A549_75ng_ml_rep3_5	1.3	1	5	3	75ng_ml	A549	75	A549
1	D	18	measurement	A549_100ng_ml	A549_100ng_ml_rep1_5	1.3	1	5	1	100ng_ml	A549	100	A549
1	D	19	measurement	A549_100ng_ml	A549_100ng_ml_rep2_5	1	1	5	2	100ng_ml	A549	100	A549
1	D	20	measurement	A549_100ng_ml	A549_100ng_ml_rep3_5	1.3	1	5	3	100ng_ml	A549	100	A549
1	E	3	measurement	A549_0ng_ml	A549_0ng_ml_rep1_15	1.3	1	15	1	0ng_ml	A549	0	A549
1	E	4	measurement	A549_0ng_ml	A549_0ng_ml_rep2_15	1	1	15	2	0ng_ml	A549	0	A549
1	E	5	measurement	A549_0ng_ml	A549_0ng_ml_rep3_15	1.3	1	15	3	0ng_ml	A549	0	A549
1	E	6	measurement	A549_10ng_ml	A549_10ng_ml_rep1_15	1.3	1	15	1	10ng_ml	A549	10	A549
1	E	7	measurement	A549_10ng_ml	A549_10ng_ml_rep2_15	1	1	15	2	10ng_ml	A549	10	A549
1	E	8	measurement	A549_10ng_ml	A549_10ng_ml_rep3_15	1.3	1	15	3	10ng_ml	A549	10	A549
1	E	9	measurement	A549_25ng_ml	A549_25ng_ml_rep1_15	1.3	1	15	1	25ng_ml	A549	25	A549
1	E	10	measurement	A549_25ng_ml	A549_25ng_ml_rep2_15	1	1	15	2	25ng_ml	A549	25	A549
1	E	11	measurement	A549_25ng_ml	A549_25ng_ml_rep3_15	1.3	1	15	3	25ng_ml	A549	25	A549
1	E	12	measurement	A549_50ng_ml	A549_50ng_ml_rep1_15	1.3	1	15	1	50ng_ml	A549	50	A549
1	E	13	measurement	A549_50ng_ml	A549_50ng_ml_rep2_15	1	1	15	2	50ng_ml	A549	50	A549
1	E	14	measurement	A549_50ng_ml	A549_50ng_ml_rep3_15	1.3	1	15	3	50ng_ml	A549	50	A549
1	E	15	measurement	A549_75ng_ml	A549_75ng_ml_rep1_15	1.3	1	15	1	75ng_ml	A549	75	A549
1	E	16	measurement	A549_75ng_ml	A549_75ng_ml_rep2_15	1	1	15	2	75ng_ml	A549	75	A549
1	E	17	measurement	A549_75ng_ml	A549_75ng_ml_rep3_15	1.3	1	15	3	75ng_ml	A549	75	A549
1	E	18	measurement	A549_100ng_ml	A549_100ng_ml_rep1_15	1.3	1	15	1	100ng_ml	A549	100	A549
